acc,cpm,wpm
91.46341463414636,362.0,72.0
88.60759493670885,353.0,70.0
93.5064935064935,374.0,74.0
90.41095890410958,333.0,66.0
94.11764705882352,399.0,79.0
87.95180722891565,374.0,74.0
91.46341463414636,366.0,73.0
92.77108433734942,384.0,76.0
88.31168831168831,361.0,72.0
95.2941176470588,403.0,80.0
93.02325581395348,410.0,82.0
88.09523809523809,366.0,73.0
91.25,385.0,77.0
88.88888888888889,383.0,76.0
86.74698795180723,366.0,73.0
88.46153846153845,368.0,73.0
88.88888888888889,326.0,65.0
94.2528735632184,393.0,78.0
97.5,393.0,78.0
87.83783783783784,354.0,70.0
92.5925925925926,374.0,74.0
77.77777777777779,205.0,41.0
75.0,157.0,31.0
95.45454545454544,234.0,46.0
82.14285714285714,221.0,44.0
90.47619047619048,203.0,40.0
90.47619047619048,173.0,34.0
78.57142857142857,218.0,43.0
80.95238095238095,186.0,37.0
